"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"AZPEITIA CINE","PRODUCTORA AUDIOVISUAL","BILLINGHURST 1087",NA,NA,"D2","billinghurst 1087","^([a-z ]*)([0-9]+)","billinghurst","1087"
"NACIONAL FOLKLORICA FM 98.7","RADIO LOCAL (AM Y FM)","MAIPU 555",NA,NA,"D2","maipu 555","^([a-z ]*)([0-9]+)","maipu","555"
"LETRA IMPRESA GRUPO EDITOR","EDITORIAL","PALPA 3672",NA,NA,"D2","palpa 3672","^([a-z ]*)([0-9]+)","palpa","3672"
"ASST","PRODUCTORA AUDIOVISUAL","CASTEX 3217",NA,NA,"D2","castex 3217","^([a-z ]*)([0-9]+)","castex","3217"
"ONDA LATINA AM 1010","RADIO LOCAL (AM Y FM)","SARMIENTO 1586",NA,NA,"D2","sarmiento 1586","^([a-z ]*)([0-9]+)","sarmiento","1586"
"ARMADO FILMS","PRODUCTORA AUDIOVISUAL","BULNES 1047",NA,NA,"D2","bulnes 1047","^([a-z ]*)([0-9]+)","bulnes","1047"
"EDITORIAL DISTAL","EDITORIAL","PASEO COLON AV. 1350",NA,NA,"D2","paseo colon av 1350","^([a-z ]*)([0-9]+)","paseo colon av","1350"
"EDITORIAL ALBATROS","EDITORIAL","SALGUERO, JERONIMO 2745",NA,NA,"D2","salguero jeronimo 2745","^([a-z ]*)([0-9]+)","salguero jeronimo","2745"
"ARGENTINA CINE","PRODUCTORA AUDIOVISUAL","DARWIN 1154",NA,NA,"D2","darwin 1154","^([a-z ]*)([0-9]+)","darwin","1154"
"EDICIONES DEL ARROYO","EDITORIAL","TUCUMAN 1427",NA,NA,"D2","tucuman 1427","^([a-z ]*)([0-9]+)","tucuman","1427"
"ENCUADRE S.A.","PRODUCTORA AUDIOVISUAL","3 DE FEBRERO 2841",NA,NA,"D2","3 de febrero 2841","^([a-z ]*)([0-9]+)","de febrero 2841","3 de febrero 2841"
"VORTERIX FM 103.1","RADIO LOCAL (AM Y FM)","LACROZE, FEDERICO AV. 3455",NA,NA,"D2","lacroze federico av 3455","^([a-z ]*)([0-9]+)","lacroze federico av","3455"
"EDITORIAL LEVIATAN","EDITORIAL","ALSINA, ADOLFO 1170",NA,NA,"D2","alsina adolfo 1170","^([a-z ]*)([0-9]+)","alsina adolfo","1170"
"AIKE SUR","PRODUCTORA AUDIOVISUAL","CARRANZA, ANGEL JUSTINIANO 2038",NA,NA,"D2","carranza angel justiniano 2038","^([a-z ]*)([0-9]+)","carranza angel justiniano","2038"
"RADIO SPLENDID AM 990","RADIO LOCAL (AM Y FM)","SAN MARTIN 569",NA,NA,"D2","san martin 569","^([a-z ]*)([0-9]+)","san martin","569"
"AD-ONE","PRODUCTORA AUDIOVISUAL","UGARTE, MANUEL 2783",NA,NA,"D2","ugarte manuel 2783","^([a-z ]*)([0-9]+)","ugarte manuel","2783"
"PARADISO EDICIONES","EDITORIAL","ACUÃ‘A DE FIGUEROA, FRANCISCO 786",NA,NA,"D2","acuaa de figueroa francisco 786","^([a-z ]*)([0-9]+)","acuaa de figueroa francisco","786"
"RADIO 9 LA DEPORTIVA AM 950","RADIO LOCAL (AM Y FM)","CONDE 935",NA,NA,"D2","conde 935","^([a-z ]*)([0-9]+)","conde","935"
"ARMONIZATE MEDIA","PRODUCTORA AUDIOVISUAL","AGUILAR 2612",NA,NA,"D2","aguilar 2612","^([a-z ]*)([0-9]+)","aguilar","2612"
"EDITORIAL MODALITE","EDITORIAL","PRINGLES 1321",NA,NA,"D2","pringles 1321","^([a-z ]*)([0-9]+)","pringles","1321"
"DONN S.A.","EDITORIAL","CORTEJARENA, JOSE A. 1862",NA,NA,"D2","cortejarena jose a 1862","^([a-z ]*)([0-9]+)","cortejarena jose a","1862"
"NUTS STUDIO S.A.","PRODUCTORA AUDIOVISUAL","SCALABRINI ORTIZ, RAUL AV. 764",NA,NA,"D2","scalabrini ortiz raul av 764","^([a-z ]*)([0-9]+)","scalabrini ortiz raul av","764"
"EDITORIAL ESTELLA - EDUCAR PARA LA LIBERTAD","EDITORIAL","VIAMONTE 1984",NA,NA,"D2","viamonte 1984","^([a-z ]*)([0-9]+)","viamonte","1984"
"HYPNOSIS FILMS","PRODUCTORA AUDIOVISUAL","CONESA 3053",NA,NA,"D2","conesa 3053","^([a-z ]*)([0-9]+)","conesa","3053"
"RADIO DEL PUEBLO AM 830","RADIO LOCAL (AM Y FM)","MONTEVIDEO 497",NA,NA,"D2","montevideo 497","^([a-z ]*)([0-9]+)","montevideo","497"
"DOS EDITORES/DOS TINTAS S.A.","EDITORIAL","BALCARCE 711",NA,NA,"D2","balcarce 711","^([a-z ]*)([0-9]+)","balcarce","711"
"EDITORIAL ERA NACIENTE","EDITORIAL","SAN JUAN AV. 777",NA,NA,"D2","san juan av 777","^([a-z ]*)([0-9]+)","san juan av","777"
"ESPACIO EDITORIAL","EDITORIAL","BOLIVAR 547",NA,NA,"D2","bolivar 547","^([a-z ]*)([0-9]+)","bolivar","547"
"CONSEJO PROFESIONAL DE CIENCIAS ECONOMICAS DE LA CAPITAL FEDERAL","EDITORIAL","VIAMONTE 1549",NA,NA,"D2","viamonte 1549","^([a-z ]*)([0-9]+)","viamonte","1549"
"EDICIONES MANANTIAL","EDITORIAL","DE MAYO AV. 1365",NA,NA,"D2","de mayo av 1365","^([a-z ]*)([0-9]+)","de mayo av","1365"
"RADIO COOPERATIVA AM 770","RADIO LOCAL (AM Y FM)","CERRITO 242",NA,NA,"D2","cerrito 242","^([a-z ]*)([0-9]+)","cerrito","242"
"FERNANDO MARIN PRODUCCIONES","PRODUCTORA AUDIOVISUAL","MADERO, EDUARDO AV. 942",NA,NA,"D2","madero eduardo av 942","^([a-z ]*)([0-9]+)","madero eduardo av","942"
"ALFAGRAMA EDICIONES","EDITORIAL","ZAPATA 160",NA,NA,"D2","zapata 160","^([a-z ]*)([0-9]+)","zapata","160"
"ALPHA CHANNEL","PRODUCTORA AUDIOVISUAL","FRIAS, EUSTAQUIO, TTE. GENERAL 263",NA,NA,"D2","frias eustaquio tte general 263","^([a-z ]*)([0-9]+)","frias eustaquio tte general","263"
"AMADEO DIGITAL","PRODUCTORA AUDIOVISUAL","3 DE FEBRERO 4856",NA,NA,"D2","3 de febrero 4856","^([a-z ]*)([0-9]+)","de febrero 4856","3 de febrero 4856"
"AMORRORTU EDITORES","EDITORIAL","PARAGUAY 1225",NA,NA,"D2","paraguay 1225","^([a-z ]*)([0-9]+)","paraguay","1225"
"ARCA DIFUSION","PRODUCTORA AUDIOVISUAL","MAIPU 916",NA,NA,"D2","maipu 916","^([a-z ]*)([0-9]+)","maipu","916"
"COSMOPOLITA","EDITORIAL","PIEDRAS 744",NA,NA,"D2","piedras 744","^([a-z ]*)([0-9]+)","piedras","744"
"AREA 54 FILMS","PRODUCTORA AUDIOVISUAL","VEGA, NICETO, CNEL. 4932",NA,NA,"D2","vega niceto cnel 4932","^([a-z ]*)([0-9]+)","vega niceto cnel","4932"
"AREA DIGITAL","PRODUCTORA AUDIOVISUAL","AREVALO 1977",NA,NA,"D2","arevalo 1977","^([a-z ]*)([0-9]+)","arevalo","1977"
"EDITORIAL ISRAELITA BNEI SHOLEM","EDITORIAL","ANCHORENA, TOMAS MANUEL DE, DR. 762",NA,NA,"D2","anchorena tomas manuel de dr 762","^([a-z ]*)([0-9]+)","anchorena tomas manuel de dr","762"
"AM 750","RADIO LOCAL (AM Y FM)","VENEZUELA 370",NA,NA,"D2","venezuela 370","^([a-z ]*)([0-9]+)","venezuela","370"
"CRECER CREANDO","EDITORIAL","VIAMONTE 2052",NA,NA,"D2","viamonte 2052","^([a-z ]*)([0-9]+)","viamonte","2052"
"CLACK STUDIO","PRODUCTORA AUDIOVISUAL","LACROZE, FEDERICO AV. 3106",NA,NA,"D2","lacroze federico av 3106","^([a-z ]*)([0-9]+)","lacroze federico av","3106"
"RADIO ARGENTINA AM 570","RADIO LOCAL (AM Y FM)","SAN MARTIN 569",NA,NA,"D2","san martin 569","^([a-z ]*)([0-9]+)","san martin","569"
"CLYNA S.A.","EDITORIAL","CERRITO 1136",NA,NA,"D2","cerrito 1136","^([a-z ]*)([0-9]+)","cerrito","1136"
"EDITORIAL PERSPECTIVAS BET MIDRASH","EDITORIAL","TUCUMAN 2757",NA,NA,"D2","tucuman 2757","^([a-z ]*)([0-9]+)","tucuman","2757"
"RADIO BUENOS AIRES AM 1350","RADIO LOCAL (AM Y FM)","ENTRE RIOS AV. 1931",NA,NA,"D2","entre rios av 1931","^([a-z ]*)([0-9]+)","entre rios av","1931"
"SOCIEDAD BIBLICA ARGENTINA","EDITORIAL","TUCUMAN 352",NA,NA,"D2","tucuman 352","^([a-z ]*)([0-9]+)","tucuman","352"
"RADIO CONCEPTO AM 730","RADIO LOCAL (AM Y FM)","MAIPU 267",NA,NA,"D2","maipu 267","^([a-z ]*)([0-9]+)","maipu","267"
"CLACSO - AREA DE PRODUCCION EDITORIAL","EDITORIAL","CALLAO AV. 875",NA,NA,"D2","callao av 875","^([a-z ]*)([0-9]+)","callao av","875"
"ASTREA EDITORIAL","EDITORIAL","LAVALLE 1208",NA,NA,"D2","lavalle 1208","^([a-z ]*)([0-9]+)","lavalle","1208"
"CONTINENTE EDICIONES","EDITORIAL","PAVON 2229",NA,NA,"D2","pavon 2229","^([a-z ]*)([0-9]+)","pavon","2229"
"CINE TAURO","PRODUCTORA AUDIOVISUAL","TRONADOR 671",NA,NA,"D2","tronador 671","^([a-z ]*)([0-9]+)","tronador","671"
"CIRCULO LATINO AUSTRAL","EDITORIAL","CASEROS AV. 1573",NA,NA,"D2","caseros av 1573","^([a-z ]*)([0-9]+)","caseros av","1573"
"CINE OJO","PRODUCTORA AUDIOVISUAL","LAVALLE 3",NA,NA,"D2","lavalle 3","^([a-z ]*)([0-9]+)","lavalle","3"
"BALLETIN DANCE","EDITORIAL","ALSINA, ADOLFO 943",NA,NA,"D2","alsina adolfo 943","^([a-z ]*)([0-9]+)","alsina adolfo","943"
"GRUPO EDITORIAL CIUDAD NUEVA","EDITORIAL","LEZICA 4358",NA,NA,"D2","lezica 4358","^([a-z ]*)([0-9]+)","lezica","4358"
"CINEMA GROUP S.R.L.","PRODUCTORA AUDIOVISUAL","SCALABRINI ORTIZ, RAUL AV. 140",NA,NA,"D2","scalabrini ortiz raul av 140","^([a-z ]*)([0-9]+)","scalabrini ortiz raul av","140"
"CLARETIANA EDITORIAL. SUCURSAL LIMA.","EDITORIAL","LIMA 1360",NA,NA,"D2","lima 1360","^([a-z ]*)([0-9]+)","lima","1360"
"CICLO UNO PRODUCTORA","PRODUCTORA AUDIOVISUAL","CASTILLO 1366",NA,NA,"D2","castillo 1366","^([a-z ]*)([0-9]+)","castillo","1366"
"CLEO ART CLUB","EDITORIAL","ARENALES 2532",NA,NA,"D2","arenales 2532","^([a-z ]*)([0-9]+)","arenales","2532"
"EDITORIAL ABELEDO PERROT","EDITORIAL","LAVALLE 1280",NA,NA,"D2","lavalle 1280","^([a-z ]*)([0-9]+)","lavalle","1280"
"EDITORIAL BAHA'' INDOLATINOAMERICANA","EDITORIAL","OTAMENDI 217",NA,NA,"D2","otamendi 217","^([a-z ]*)([0-9]+)","otamendi","217"
"COMPANIA CINEMATOGRAFICA","PRODUCTORA AUDIOVISUAL","GUATEMALA 5188",NA,NA,"D2","guatemala 5188","^([a-z ]*)([0-9]+)","guatemala","5188"
"EDICIONES ANDROMEDA","EDITORIAL","LA PLATA AV. 1268",NA,NA,"D2","la plata av 1268","^([a-z ]*)([0-9]+)","la plata av","1268"
"SALADO MEDIA","PRODUCTORA AUDIOVISUAL","CARRANZA, ANGEL JUSTINIANO 1970",NA,NA,"D2","carranza angel justiniano 1970","^([a-z ]*)([0-9]+)","carranza angel justiniano","1970"
"PROYECTO BASE","EDITORIAL","SANTA FE AV. 1460",NA,NA,"D2","santa fe av 1460","^([a-z ]*)([0-9]+)","santa fe av","1460"
"16M EL ANGEL FILMS","PRODUCTORA AUDIOVISUAL","SERRANO 820",NA,NA,"D2","serrano 820","^([a-z ]*)([0-9]+)","serrano","820"
"CATAPULTA EDITORES/CATAPULTA JUNIOR","EDITORIAL","DONADO 4694",NA,NA,"D2","donado 4694","^([a-z ]*)([0-9]+)","donado","4694"
"ATVEL EDITORIAL","EDITORIAL","PICHINCHA 1091",NA,NA,"D2","pichincha 1091","^([a-z ]*)([0-9]+)","pichincha","1091"
"ARTNOVELA EDICIONES","EDITORIAL","MOREAU DE JUSTO, ALICIA AV. 1120",NA,NA,"D2","moreau de justo alicia av 1120","^([a-z ]*)([0-9]+)","moreau de justo alicia av","1120"
"GRUPO EDIBA","EDITORIAL","FOREST AV. 579",NA,NA,"D2","forest av 579","^([a-z ]*)([0-9]+)","forest av","579"
"PEARSON EDUCACION","EDITORIAL","BELGRANO AV. 615",NA,NA,"D2","belgrano av 615","^([a-z ]*)([0-9]+)","belgrano av","615"
"TUSQUETS EDITORES S.A.","EDITORIAL","VENEZUELA 1664",NA,NA,"D2","venezuela 1664","^([a-z ]*)([0-9]+)","venezuela","1664"
"PICHUCO RECORDS","SELLO DISCOGRAFICO","PARANA 641",NA,NA,"D2","parana 641","^([a-z ]*)([0-9]+)","parana","641"
"V & R EDITORAS S.A.","EDITORIAL","DEMARIA 4412",NA,NA,"D2","demaria 4412","^([a-z ]*)([0-9]+)","demaria","4412"
"ATLANTE ARGENTINA EDITORIAL","EDITORIAL","JUNIN 827",NA,NA,"D2","junin 827","^([a-z ]*)([0-9]+)","junin","827"
"EDITORIAL SIGMAR","EDITORIAL","BELGRANO AV. 1580",NA,NA,"D2","belgrano av 1580","^([a-z ]*)([0-9]+)","belgrano av","1580"
"EDIAR","EDITORIAL","TUCUMAN 927",NA,NA,"D2","tucuman 927","^([a-z ]*)([0-9]+)","tucuman","927"
"KAPELUSZ EDICIONES","EDITORIAL","SAN JOSE 831",NA,NA,"D2","san jose 831","^([a-z ]*)([0-9]+)","san jose","831"
"PROCOM DISCOS","SELLO DISCOGRAFICO","RIVERA, PEDRO I., DR. 5738",NA,NA,"D2","rivera pedro i dr 5738","^([a-z ]*)([0-9]+)","rivera pedro i dr","5738"
"KATZ EDITORES","EDITORIAL","MATIENZO, BENJAMIN, TENIENTE 1831",NA,NA,"D2","matienzo benjamin teniente 1831","^([a-z ]*)([0-9]+)","matienzo benjamin teniente","1831"
"RIGOR RECORDS","SELLO DISCOGRAFICO","MENDEZ DE ANDES 2355",NA,NA,"D2","mendez de andes 2355","^([a-z ]*)([0-9]+)","mendez de andes","2355"
"GRUPO VISOR","EDITORIAL","ARBELETCHE, ANIBAL P. 1580",NA,NA,"D2","arbeletche anibal p 1580","^([a-z ]*)([0-9]+)","arbeletche anibal p","1580"
"YORK AGENCY","EDITORIAL","ALSINA, ADOLFO 739",NA,NA,"D2","alsina adolfo 739","^([a-z ]*)([0-9]+)","alsina adolfo","739"
"ALFAOMEGA GRUPO EDITOR","EDITORIAL","PARAGUAY 1307",NA,NA,"D2","paraguay 1307","^([a-z ]*)([0-9]+)","paraguay","1307"
"SURAMUSIC","SELLO DISCOGRAFICO","ALVAREZ THOMAS AV. 637",NA,NA,"D2","alvarez thomas av 637","^([a-z ]*)([0-9]+)","alvarez thomas av","637"
"EDICIONES B / GRUPO Z","EDITORIAL","PASEO COLON AV. 221",NA,NA,"D2","paseo colon av 221","^([a-z ]*)([0-9]+)","paseo colon av","221"
"VACA RECORDS","SELLO DISCOGRAFICO","BESARES 1931",NA,NA,"D2","besares 1931","^([a-z ]*)([0-9]+)","besares","1931"
"EDICIONES LEA","EDITORIAL","DORREGO AV. 330",NA,NA,"D2","dorrego av 330","^([a-z ]*)([0-9]+)","dorrego av","330"
"EDICIONES SM","EDITORIAL","BELGRANO AV. 552",NA,NA,"D2","belgrano av 552","^([a-z ]*)([0-9]+)","belgrano av","552"
"ESTAMOS FELICES","SELLO DISCOGRAFICO","LOPEZ, VICENTE 2305",NA,NA,"D2","lopez vicente 2305","^([a-z ]*)([0-9]+)","lopez vicente","2305"
"EDICIONES MADRES DE PLAZA DE MAYO","EDITORIAL","YRIGOYEN, HIPOLITO 1432",NA,NA,"D2","yrigoyen hipolito 1432","^([a-z ]*)([0-9]+)","yrigoyen hipolito","1432"
"EDITORIAL ANDRES BELLO ARGENTINA","EDITORIAL","RIO CUARTO 2765",NA,NA,"D2","rio cuarto 2765","^([a-z ]*)([0-9]+)","rio cuarto","2765"
"EDITORIAL ABACO","EDITORIAL","VIAMONTE 1336",NA,NA,"D2","viamonte 1336","^([a-z ]*)([0-9]+)","viamonte","1336"
"GLD (GRUPO LASER DISC)","SELLO DISCOGRAFICO","11 DE SEPTIEMBRE DE 1888 3585",NA,NA,"D2","11 de septiembre de 1888 3585","^([a-z ]*)([0-9]+)","de septiembre de 1888 3585","11 de septiembre de 1888 3585"
"EDITORIAL HEMISFERIO SUR","EDITORIAL","PASTEUR 743",NA,NA,"D2","pasteur 743","^([a-z ]*)([0-9]+)","pasteur","743"
"EDITORIAL CROQUIS","EDITORIAL","VIAMONTE 947",NA,NA,"D2","viamonte 947","^([a-z ]*)([0-9]+)","viamonte","947"
"MARKA","SELLO DISCOGRAFICO","PERON, JUAN DOMINGO, TTE. GENERAL 1593",NA,NA,"D2","peron juan domingo tte general 1593","^([a-z ]*)([0-9]+)","peron juan domingo tte general","1593"
"EDITORIAL LOS ANDES","EDITORIAL","GALICIA 414",NA,NA,"D2","galicia 414","^([a-z ]*)([0-9]+)","galicia","414"
"EDITORIAL MEDICA PANAMERICANA","EDITORIAL","ALVEAR, MARCELO T. DE 2145",NA,NA,"D2","alvear marcelo t de 2145","^([a-z ]*)([0-9]+)","alvear marcelo t de","2145"
"MELOPEA DISCOS","SELLO DISCOGRAFICO","ACHA, MARIANO, GRAL. 3037",NA,NA,"D2","acha mariano gral 3037","^([a-z ]*)([0-9]+)","acha mariano gral","3037"
"MUSIC BROKERS ARGENTINA","SELLO DISCOGRAFICO","VUELTA DE OBLIGADO 1947",NA,NA,"D2","vuelta de obligado 1947","^([a-z ]*)([0-9]+)","vuelta de obligado","1947"
"NEMS ENTERPRISES","SELLO DISCOGRAFICO","RIO DE JANEIRO 9",NA,NA,"D2","rio de janeiro 9","^([a-z ]*)([0-9]+)","rio de janeiro","9"
"PAI PRODUCCIONES ARGENTINAS E INTERNACIONALES","SELLO DISCOGRAFICO","GALICIA 1290",NA,NA,"D2","galicia 1290","^([a-z ]*)([0-9]+)","galicia","1290"
"ASTERISCO","SELLO DISCOGRAFICO","TUCUMAN 731",NA,NA,"D2","tucuman 731","^([a-z ]*)([0-9]+)","tucuman","731"
"AVA RECORDS","SELLO DISCOGRAFICO","PELLEGRINI, CARLOS 155",NA,NA,"D2","pellegrini carlos 155","^([a-z ]*)([0-9]+)","pellegrini carlos","155"
"AZIONE ARTIGINIALE","SELLO DISCOGRAFICO","VARELA 236",NA,NA,"D2","varela 236","^([a-z ]*)([0-9]+)","varela","236"
"BESOTICO RECORDS","SELLO DISCOGRAFICO","MORENO 1876",NA,NA,"D2","moreno 1876","^([a-z ]*)([0-9]+)","moreno","1876"
"BLACKSIDE INC.","SELLO DISCOGRAFICO","LOZANO, PEDRO 3792",NA,NA,"D2","lozano pedro 3792","^([a-z ]*)([0-9]+)","lozano pedro","3792"
"CICLO 3","SELLO DISCOGRAFICO","ESTADOS UNIDOS 629",NA,NA,"D2","estados unidos 629","^([a-z ]*)([0-9]+)","estados unidos","629"
"DISCOS REDONDEL","SELLO DISCOGRAFICO","BUCARELLI 2626",NA,NA,"D2","bucarelli 2626","^([a-z ]*)([0-9]+)","bucarelli","2626"
"MUSEO NOTARIAL ARGENTINO","MUSEO","CALLAO AV. 1542",NA,NA,"D2","callao av 1542","^([a-z ]*)([0-9]+)","callao av","1542"
"MUSEO DE LA EMIGRACION GALLEGA EN LA ARGENTINA M.E.G.A.","MUSEO","CHACABUCO 955",NA,NA,"D2","chacabuco 955","^([a-z ]*)([0-9]+)","chacabuco","955"
"PAIDOS GRUPO PLANETA","EDITORIAL","INDEPENDENCIA AV. 1682",NA,NA,"D2","independencia av 1682","^([a-z ]*)([0-9]+)","independencia av","1682"
"EDICIONES EL ANDARIEGO","EDITORIAL","ARAOZ 577",NA,NA,"D2","araoz 577","^([a-z ]*)([0-9]+)","araoz","577"
"VAZQUEZ MAZZINI EDITORES","EDITORIAL","TINOGASTA 3171",NA,NA,"D2","tinogasta 3171","^([a-z ]*)([0-9]+)","tinogasta","3171"
"EDEBE","EDITORIAL","DON BOSCO 4069",NA,NA,"D2","don bosco 4069","^([a-z ]*)([0-9]+)","don bosco","4069"
"ESTACION MANDIOCA DE EDICIONES","EDITORIAL","BONIFACIO, JOSE 2524",NA,NA,"D2","bonifacio jose 2524","^([a-z ]*)([0-9]+)","bonifacio jose","2524"
"EDELVIVES ARGENTINA","EDITORIAL","CALLAO AV. 224",NA,NA,"D2","callao av 224","^([a-z ]*)([0-9]+)","callao av","224"
"UGERMAN EDITOR","EDITORIAL","ITUZAINGO 1151",NA,NA,"D2","ituzaingo 1151","^([a-z ]*)([0-9]+)","ituzaingo","1151"
"EDITORIAL UNIVERSIDAD","EDITORIAL","RIVADAVIA AV. 1225",NA,NA,"D2","rivadavia av 1225","^([a-z ]*)([0-9]+)","rivadavia av","1225"
"XYZ EDITORA S.A.","EDITORIAL","HUERGO, ING. AV. 1181",NA,NA,"D2","huergo ing av 1181","^([a-z ]*)([0-9]+)","huergo ing av","1181"
"ANTIDOTO EDITORIAL","EDITORIAL","CHILE 1302",NA,NA,"D2","chile 1302","^([a-z ]*)([0-9]+)","chile","1302"
"PEQUEÑO EDITOR","EDITORIAL","CHARLONE 978",NA,NA,"D2","charlone 978","^([a-z ]*)([0-9]+)","charlone","978"
"PLAQUETODO","EDITORIAL","INCLAN 3955",NA,NA,"D2","inclan 3955","^([a-z ]*)([0-9]+)","inclan","3955"
"EDITORIAL POLEMOS","EDITORIAL","MORENO 1785",NA,NA,"D2","moreno 1785","^([a-z ]*)([0-9]+)","moreno","1785"
"PRODUCCIONES MAWIS","EDITORIAL","LAMARCA, EMILIO 1917",NA,NA,"D2","lamarca emilio 1917","^([a-z ]*)([0-9]+)","lamarca emilio","1917"
"EDITORIAL REMOLINO","EDITORIAL","AZCUENAGA 24",NA,NA,"D2","azcuenaga 24","^([a-z ]*)([0-9]+)","azcuenaga","24"
"EDITORIAL RUY DIAZ","EDITORIAL","GONZALEZ, ELPIDIO 5562",NA,NA,"D2","gonzalez elpidio 5562","^([a-z ]*)([0-9]+)","gonzalez elpidio","5562"
"EDITORIAL SAN PABLO","EDITORIAL","RIOBAMBA 230",NA,NA,"D2","riobamba 230","^([a-z ]*)([0-9]+)","riobamba","230"
"EDITORIAL SERENDIPIDAD","EDITORIAL","HUERGO, ING. AV. 1485",NA,NA,"D2","huergo ing av 1485","^([a-z ]*)([0-9]+)","huergo ing av","1485"
"SESSA EDITORES","EDITORIAL","BOLLINI 2234",NA,NA,"D2","bollini 2234","^([a-z ]*)([0-9]+)","bollini","2234"
"SIGLO VEINTIUNO EDITORES","EDITORIAL","GUATEMALA 4824",NA,NA,"D2","guatemala 4824","^([a-z ]*)([0-9]+)","guatemala","4824"
"SOUTH END PUBLISHING","EDITORIAL","ARAOZ 558",NA,NA,"D2","araoz 558","^([a-z ]*)([0-9]+)","araoz","558"
"LUGAR EDITORIAL S.A.","EDITORIAL","CASTRO BARROS 1754",NA,NA,"D2","castro barros 1754","^([a-z ]*)([0-9]+)","castro barros","1754"
"CINES PLAZA LINIERS SHOPPING CENTER","CINE","FALCON, RAMON L.,CNEL. 7145",NA,NA,"D2","falcon ramon lcnel 7145","^([a-z ]*)([0-9]+)","falcon ramon lcnel","7145"
"CINEMARK CABALLITO","CINE","LA PLATA AV. 96",NA,NA,"D2","la plata av 96","^([a-z ]*)([0-9]+)","la plata av","96"
"CINEMARK PALERMO","CINE","BERUTI 3399",NA,NA,"D2","beruti 3399","^([a-z ]*)([0-9]+)","beruti","3399"
"CINEMARK PUERTO MADERO","CINE","MOREAU DE JUSTO, ALICIA AV. 1960",NA,NA,"D2","moreau de justo alicia av 1960","^([a-z ]*)([0-9]+)","moreau de justo alicia av","1960"
"PIAZZOLLA TANGO","MILONGA Y/O TANGUERIA","FLORIDA 165",NA,NA,"D2","florida 165","^([a-z ]*)([0-9]+)","florida","165"
"TEATRO LA GALERA","ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)","HUMBOLDT 1591",NA,NA,"D2","humboldt 1591","^([a-z ]*)([0-9]+)","humboldt","1591"
"STADIUM EDITORIAL","EDITORIAL","INDEPENDENCIA AV. 3124",NA,NA,"D2","independencia av 3124","^([a-z ]*)([0-9]+)","independencia av","3124"
"EDICIONES LUMIERE","EDITORIAL","AZARA 65",NA,NA,"D2","azara 65","^([a-z ]*)([0-9]+)","azara","65"
"MAGISTERIO DEL RIO DE LA PLATA","EDITORIAL","VIAMONTE 1674",NA,NA,"D2","viamonte 1674","^([a-z ]*)([0-9]+)","viamonte","1674"
"MALAS PALABRAS BUKS","EDITORIAL","PARAGUAY 749",NA,NA,"D2","paraguay 749","^([a-z ]*)([0-9]+)","paraguay","749"
"MASCARDI & NASH","EDITORIAL","PARANA 1097",NA,NA,"D2","parana 1097","^([a-z ]*)([0-9]+)","parana","1097"
"MC GRAW-HILL INTERAMERICANA EDITORES","EDITORIAL","ARENAL, CONCEPCION 3425",NA,NA,"D2","arenal concepcion 3425","^([a-z ]*)([0-9]+)","arenal concepcion","3425"
"MIÑO Y DAVILA EDITORES","EDITORIAL","RIVADAVIA AV. 1977",NA,NA,"D2","rivadavia av 1977","^([a-z ]*)([0-9]+)","rivadavia av","1977"
"NISEOS EDITORIAL DE HISTORIA MILITAR","EDITORIAL","DE MAYO AV. 1370",NA,NA,"D2","de mayo av 1370","^([a-z ]*)([0-9]+)","de mayo av","1370"
"EDICIONES NISNO","EDITORIAL","ROSETI 181",NA,NA,"D2","roseti 181","^([a-z ]*)([0-9]+)","roseti","181"
"NOBUKO","EDITORIAL","FLORIDA 683",NA,NA,"D2","florida 683","^([a-z ]*)([0-9]+)","florida","683"
"OLMO EDICIONES","EDITORIAL","ALVEAR, MARCELO T. DE 2261",NA,NA,"D2","alvear marcelo t de 2261","^([a-z ]*)([0-9]+)","alvear marcelo t de","2261"
"EDITORIAL OMEBA","EDITORIAL","MORENO 2554",NA,NA,"D2","moreno 2554","^([a-z ]*)([0-9]+)","moreno","2554"
"OSMAR BUYATTI LIBRERIA EDITORIAL","EDITORIAL","VIAMONTE 1509",NA,NA,"D2","viamonte 1509","^([a-z ]*)([0-9]+)","viamonte","1509"
"PATRIA GRANDE EDITORA","EDITORIAL","RIVADAVIA AV. 6369",NA,NA,"D2","rivadavia av 6369","^([a-z ]*)([0-9]+)","rivadavia av","6369"
"LA AZOTEA EDITORIAL FOTOGRAFICA DE AMERICA LATINA","EDITORIAL","PARAGUAY 1480",NA,NA,"D2","paraguay 1480","^([a-z ]*)([0-9]+)","paraguay","1480"
"EDITORIAL LA BOHEMIA","EDITORIAL","PATRICIAS ARGENTINAS AV. 111",NA,NA,"D2","patricias argentinas av 111","^([a-z ]*)([0-9]+)","patricias argentinas av","111"
"EDICIONES LA ROCCA","EDITORIAL","TALCAHUANO 458",NA,NA,"D2","talcahuano 458","^([a-z ]*)([0-9]+)","talcahuano","458"
"LAFFONT","EDITORIAL","REGIMIENTO DE PATRICIOS AV. 929",NA,NA,"D2","regimiento de patricios av 929","^([a-z ]*)([0-9]+)","regimiento de patricios av","929"
