"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"CENTRO CULTURAL BARRIO COPELLO","CENTRO CULTURAL","DELLEPIANE, LUIS, TTE. GRAL. 4900",NA,NA,"D2","dellepiane luis tte gral 4900","^([a-z ]*)([0-9]+)","dellepiane luis tte gral","4900"
"CENTRO CULTURAL BARRIO RIVADAVIA","CENTRO CULTURAL","COBO AV. Y CURAPALIGUE",NA,NA,"D2","cobo av y curapaligue","","cobo av y curapaligue","cobo av y curapaligue"
"CENTRO CULTURAL BELGRANO R.","CENTRO CULTURAL","LA PAMPA 3855",NA,NA,"D2","la pampa 3855","^([a-z ]*)([0-9]+)","la pampa","3855"
"CENTRO CULTURAL BOEDO","CENTRO CULTURAL","CASTRO 954",NA,NA,"D2","castro 954","^([a-z ]*)([0-9]+)","castro","954"
"CENTRO CULTURAL CEPNA (CENTRO DE ESTUDIOS Y PROYECTOS NUEVA ARGENTINA)","CENTRO CULTURAL","MURGUIONDO 4361",NA,NA,"D2","murguiondo 4361","^([a-z ]*)([0-9]+)","murguiondo","4361"
"CENTRO CULTURAL COLEGIALES","CENTRO CULTURAL","CONDE 943",NA,NA,"D2","conde 943","^([a-z ]*)([0-9]+)","conde","943"
"CENTRO CULTURAL DEL BAJO FLORES","CENTRO CULTURAL","RIESTRA AV. 1650",NA,NA,"D2","riestra av 1650","^([a-z ]*)([0-9]+)","riestra av","1650"
"CENTRO CULTURAL DEL SUR","CENTRO CULTURAL","CASEROS AV. 1750",NA,NA,"D2","caseros av 1750","^([a-z ]*)([0-9]+)","caseros av","1750"
"CENTRO CULTURAL DEVOTO","CENTRO CULTURAL","NUEVA YORK 4169",NA,NA,"D2","nueva york 4169","^([a-z ]*)([0-9]+)","nueva york","4169"
"CENTRO CULTURAL DISCEPOLIN","CENTRO CULTURAL","TRONADOR 4134",NA,NA,"D2","tronador 4134","^([a-z ]*)([0-9]+)","tronador","4134"
"CENTRO CULTURAL EL ETERNAUTA","CENTRO CULTURAL","LOBOS, ELEODORO, DR. 437",NA,NA,"D2","lobos eleodoro dr 437","^([a-z ]*)([0-9]+)","lobos eleodoro dr","437"
"CENTRO CULTURAL EL TALLER","CENTRO CULTURAL","GONZALEZ, ELPIDIO 4967",NA,NA,"D2","gonzalez elpidio 4967","^([a-z ]*)([0-9]+)","gonzalez elpidio","4967"
"CENTRO CULTURAL ELADIA BLAZQUEZ","CENTRO CULTURAL","RABANAL, FRANCISCO, INTENDENTE AV. 2275",NA,NA,"D2","rabanal francisco intendente av 2275","^([a-z ]*)([0-9]+)","rabanal francisco intendente av","2275"
"CENTRO CULTURAL ELIAS CASTELNUOVO","CENTRO CULTURAL","MONTIEL 1041",NA,NA,"D2","montiel 1041","^([a-z ]*)([0-9]+)","montiel","1041"
"CENTRO CULTURAL FORTUNATO LACAMERA","CENTRO CULTURAL","SAN JUAN AV. 353",NA,NA,"D2","san juan av 353","^([a-z ]*)([0-9]+)","san juan av","353"
"CENTRO CULTURAL HOMERO MANZI","CENTRO CULTURAL","TILCARA 3365",NA,NA,"D2","tilcara 3365","^([a-z ]*)([0-9]+)","tilcara","3365"
"CENTRO CULTURAL JUAN CARLOS CASTAGNINO","CENTRO CULTURAL","PAZ, GRAL. AV. Y 2 DE ABRIL DE 1982",NA,NA,"D2","paz gral av y 2 de abril de 1982","^([a-z ]*)([0-9]+)","paz gral av y  de abril de 1982","2 de abril de 1982"
"CENTRO CULTURAL JULIO CORTAZAR","CENTRO CULTURAL","O'HIGGINS 3050",NA,NA,"D2","ohiggins 3050","^([a-z ]*)([0-9]+)","ohiggins","3050"
"CENTRO CULTURAL LA CASITA DE LA SELVA","CENTRO CULTURAL","LA SELVA 4022",NA,NA,"D2","la selva 4022","^([a-z ]*)([0-9]+)","la selva","4022"
"CENTRO CULTURAL LA PATERNAL - VILLA MITRE","CENTRO CULTURAL","CARACAS 1249",NA,NA,"D2","caracas 1249","^([a-z ]*)([0-9]+)","caracas","1249"
"CENTRO CULTURAL LA USINA","CENTRO CULTURAL","SANTO DOMINGO 2752",NA,NA,"D2","santo domingo 2752","^([a-z ]*)([0-9]+)","santo domingo","2752"
"CENTRO CULTURAL LINO E. SPILIMBERGO","CENTRO CULTURAL","PEREZ, ROQUE 3545",NA,NA,"D2","perez roque 3545","^([a-z ]*)([0-9]+)","perez roque","3545"
"CENTRO CULTURAL LOLA MORA","CENTRO CULTURAL","RIO DE JANEIRO 946",NA,NA,"D2","rio de janeiro 946","^([a-z ]*)([0-9]+)","rio de janeiro","946"
"CENTRO CULTURAL MACEDONIO FERNANDEZ","CENTRO CULTURAL","LEGUIZAMON, MARTINIANO 1470",NA,NA,"D2","leguizamon martiniano 1470","^([a-z ]*)([0-9]+)","leguizamon martiniano","1470"
"CENTRO CULTURAL MARCO DEL PONT","CENTRO CULTURAL","ARTIGAS, JOSE GERVASIO, GRAL. 202",NA,NA,"D2","artigas jose gervasio gral 202","^([a-z ]*)([0-9]+)","artigas jose gervasio gral","202"
"CENTRO CULTURAL OSVALDO PUGLIESE","CENTRO CULTURAL","ARAOZ 234",NA,NA,"D2","araoz 234","^([a-z ]*)([0-9]+)","araoz","234"
"CENTRO CULTURAL PLAZA DEFENSA","CENTRO CULTURAL","DEFENSA 535",NA,NA,"D2","defensa 535","^([a-z ]*)([0-9]+)","defensa","535"
"CENTRO CULTURAL RESURGIMIENTO","CENTRO CULTURAL","ARTIGAS, JOSE GERVASIO, GRAL. 2262",NA,NA,"D2","artigas jose gervasio gral 2262","^([a-z ]*)([0-9]+)","artigas jose gervasio gral","2262"
"CENTRO CULTURAL ROBERTO ARLT","CENTRO CULTURAL","AVELLANEDA AV. 2547",NA,NA,"D2","avellaneda av 2547","^([a-z ]*)([0-9]+)","avellaneda av","2547"
"CENTRO CULTURAL ROBERTO SANTORO","CENTRO CULTURAL","GIRIBONE 1961",NA,NA,"D2","giribone 1961","^([a-z ]*)([0-9]+)","giribone","1961"
"CENTRO CULTURAL SALADIYO","CENTRO CULTURAL","BERON DE ASTRADA 5920",NA,NA,"D2","beron de astrada 5920","^([a-z ]*)([0-9]+)","beron de astrada","5920"
"CENTRO CULTURAL SEBASTIAN PIANA","CENTRO CULTURAL","PUAN 360",NA,NA,"D2","puan 360","^([a-z ]*)([0-9]+)","puan","360"
"CENTRO CULTURAL VERSALLES","CENTRO CULTURAL","BRUSELAS 785",NA,NA,"D2","bruselas 785","^([a-z ]*)([0-9]+)","bruselas","785"
"ESPACIO CULTURAL CARLOS GARDEL","CENTRO CULTURAL","OLLEROS 3640",NA,NA,"D2","olleros 3640","^([a-z ]*)([0-9]+)","olleros","3640"
"ESPACIO CULTURAL JULIAN CENTEYA","CENTRO CULTURAL","SAN JUAN AV. 3255",NA,NA,"D2","san juan av 3255","^([a-z ]*)([0-9]+)","san juan av","3255"
