NOMBRE	ACTIVIDAD	DIRECCION		
BOEDO XXI ESPACIO DE TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BOEDO AV. 853		
EMPIRE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	YRIGOYEN, HIPOLITO 1934		
EL DESGUACE, TEATRO Y ALMACEN CULTURAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MEXICO 3694		
TEATRO AVENIDA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DE MAYO AV. 1220		
TERRAZA TEATRO BAR	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1660		
EL VICTORIAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PIEDRAS 722		
LA SALITA ESPACIO CULTURAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	YRIGOYEN, HIPOLITO 1362		
TEATRO TALLER EL GRITO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	COSTA RICA 5459		
EL FINO ESPACIO CULTURAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PARANA 673		
MACHADO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MACHADO, ANTONIO 617		
ESTUDIO ROBERTO SAIZ	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DE MAYO AV. 1430		
AUDITORIO HOTEL BAUEN	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CALLAO AV. 360		
PASEO LA PLAZA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1660		
TEATRO CALIBAN	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MEXICO 1428		
BAJO CORRIENTES	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1632		
ANGEL DEL ABASTO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ZELAYA 3122		
LA CHILINGA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	RUIZ HUIDOBRO AV. 4228		
LA FUGA CABRERA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CABRERA, JOSE A. 4871		
TEATRO REGINA - CASA DEL TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SANTA FE AV. 1243		
EL ATAJO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MONTAÃ‘ESES 1977		
TEATRO ABSURDO DE PALERMO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	RAVIGNANI, EMILIO, DR. 1557		
MADERA DE SUEÑOS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	JUFRE 375		
CORRIENTE AZUL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 5965		
EL FARABUTE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 5534		
TEATRO COLISEO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ALVEAR, MARCELO T. DE 1125		
CINE TEATRO SAN PEDRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BERMUDEZ 2052		
EL DOBLE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ARAOZ 727		
