NOMBRE	ACTIVIDAD	DIRECCION		
BIBLIOTECA DE LA SOCIEDAD ARGENTINA DE CARDIOLOGIA	BIBLIOTECA	AZCUENAGA 980		
BIBLIOTECA DE LA UNIVERSIDAD DE BELGRANO	BIBLIOTECA	ZABALA 1851		
BIBLIOTECA DE LA ACADEMIA NACIONAL DE CIENCIAS EXACTAS, FISICAS Y NATURALES	BIBLIOTECA	ALVEAR 1711		
"BIBLIOTECA DE LA ASOCIACION DE BIBLIOTECARIOS GRADUADOS DE LA REPUBLICA ARGENTINA ""REINALDO JOSE SUAREZ"""	BIBLIOTECA	PARANA 918		
BIBLIOTECA DE LA FACULTAD DE DERECHO DE LA UBA	BIBLIOTECA	FIGUEROA ALCORTA, PRES. AV. 2263		
BIBLIOTECA NACIONAL	BIBLIOTECA	AGUERO 2502		
BIBLIOTECA DE LA SOCIEDAD ARGENTINA DE REUMATOLOGIA	BIBLIOTECA	CALLAO AV. 384		
BIBLIOTECA DEL INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA - INSTITUTO DE ECONOMIA Y SOCIOLOGIA	BIBLIOTECA	CERVIÃ‘O AV. 3101		
BIBLIOTECA DEL MUSEO NACIONAL DE ARTE DECORATIVO	BIBLIOTECA	DEL LIBERTADOR AV. 1902		
BIBLIOTECA DEL CENTRO DE INVESTIGACIONES FILOSOFICAS CIF	BIBLIOTECA	MIÃ‘ONES 2073		
INSTITUTO DE GEOCRONOLOGIA Y GEOLOGIA ISOTOPICA	BIBLIOTECA	GUIRALDES, INT. 2620		
INSTITUTO NACIONAL SAN MARTINIANO	BIBLIOTECA	CASTILLA, RAMON, MARISCAL Y AGUADO, ALEJANDRO M. DE		
INSTITUTO DE BIOLOGIA Y MEDICINA EXPERIMENTAL	BIBLIOTECA	VUELTA DE OBLIGADO 2490		
"INSTITUTO NACIONAL DE ANTROPOLOGIA Y PENSAMIENTO LATINOAMERICA - BIBLIOTECA Y CENTRO DE DOCUMENTACION ""JUAN ANTONIO CARRIZO"""	BIBLIOTECA	3 DE FEBRERO 1378		
BIBLIOTECA CENTRAL DE CIUDAD UNIVERSITARIA (UBA)	BIBLIOTECA	GUIRALDES, INT. 2620		
"BIBLIOTECA DEL INSTITUTO ARGENTINO DE MATEMATICA ""ALBERTO CALDERON"""	BIBLIOTECA	SAAVEDRA 15		
BIBLIOTECA DEL CENTRO ARGENTINO DE INFORMACION CIENTIFICA Y TECNOLOGICA	BIBLIOTECA	SAAVEDRA 15		
RED DE BIBLIOTECAS UNIVERSITARIAS DEL SALVADOR RED BUS	BIBLIOTECA	PERON, JUAN DOMINGO, TTE. GENERAL 1818		
"BIBLIOTECA ALVEAR ""R.P. ERNESTO DANN OBREGON S.J"" UNIVERSIDAD DEL SALVADOR"	BIBLIOTECA	ALVEAR, MARCELO T. DE 1312		
"BIBLIOTECA ""FINOCHIETTO"" DE LA FACULTAD DE MEDICINA UNIVERSIDAD DEL SALVADOR"	BIBLIOTECA	TUCUMAN 1845		
BIBLIOTECA DEL HOSPITAL MATERNO INFANTIL RAMON SARDA	BIBLIOTECA	LUCA, ESTEBAN DE 2151		
"BIBLIOTECA ""DR. MARTIN VAZQUEZ VIGO"" DE LA ASOCIACION MEDICOS MUNICIPALES DE LA CIUDAD DE BS.AS."	BIBLIOTECA	PACHECO DE MELO, JOSE ANDRES 2034		
BIBLIOTECA DEL CENTRO DE ECONOMIA INTERNACIONAL (CEI)	BIBLIOTECA	ESMERALDA 1212		
BIBLIOTECA NACIONAL DE METEOROLOGIA ?ING. ALFREDO G. GALMARINI?	BIBLIOTECA	25 DE MAYO 658		
BIBLIOTECA CENTRAL DE UNIVERSIDAD ABIERTA INTERAMERICANA	BIBLIOTECA	MONTES DE OCA, MANUEL 745		
BIBLIOTECA UNIVERSITARIA DEL CINE	BIBLIOTECA	GIUFFRA, JOSE M.,DR. 330		
CENTRO DOCUMENTAL Y BIBLIOTECA DEL ATENEO ARGENTINO DE ODONTOLOGIA	BIBLIOTECA	ANCHORENA, TOMAS MANUEL DE, DR. 1176		
BIBLIOTECA CENTRAL DE LA UNIVERSIDAD AUSTRAL	BIBLIOTECA	GARAY, JUAN DE AV. 125		
"BIBLIOTECA ""DR. CARLOS CARDINI"" DE LA FUNDACION INSTITUTO LELOIR"	BIBLIOTECA	PATRICIAS ARGENTINAS AV. 435		
"BIBLIOTECA ""UTOPIA"" DEL CENTRO CULTURAL DE LA COOPERACION"	BIBLIOTECA	CORRIENTES AV. 1543		
BIBLIOTECA UNIVERSITARIA MAIMONIDES	BIBLIOTECA	HIDALGO 775		
BIBLIOTECA Y ARCHIVO DOCUMENTAL DEL INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA (INTA)	BIBLIOTECA	CHILE 460		
"BIBLIOTECA ""EZEQUIEL MARTINEZ ESTRADA"" DE LA UNIVERSIDAD FAVALORO"	BIBLIOTECA	BELGRANO AV. 1720		
BIBLIOTECA Y CENTRO MULTIMEDIA DE LA FACULTAD DE CIENCIAS VETERINARIAS UBA	BIBLIOTECA	CHORROARIN AV. 280		
BIBLIOTECA DEL ALMA MATER STUDIORUM UNIVERSIDAD DI BOLOGNA	BIBLIOTECA	RODRIGUEZ PE�A 1464		
"BIBLIOTECA ""PROFESOR EMERITO DR. ALFREDO L. PALACIOS"""	BIBLIOTECA	CORDOBA AV. 2122		
BIBLIOTECA BARTOLOME MITRE COLEGIO PUBLICO DE TRADUCTORES	BIBLIOTECA	CORRIENTES AV. 1834		
CENTRO LATINOAMERICANO DE DOCUMENTACION INFORMATICA Y ELECTRONICA	BIBLIOTECA	URUGUAY 252		
BIBLIOTECA DEL COLEGIO DE ABOGADOS DE LA CIUDAD DE BUENOS AIRES	BIBLIOTECA	MONTEVIDEO 640		
ARCHIVO TECNICO DE LA SECRETARIA DE ENERGIA	BIBLIOTECA	PASEO COLON AV. 171		
BIBLIOTECA DE LA COMISION NACIONAL DE COMERCIO EXTERIOR	BIBLIOTECA	PASEO COLON AV. 275		
"BIBLIOTECA DE DEFENSA ""GENERALA JUANA AZURDUY"""	BIBLIOTECA	AZOPARDO Y MORENO		
ARCHIVO GENERAL DE LA NACION - ARCHIVO INTERMEDIO	ARCHIVO	PASEO COLON AV. 1093		
CENTRO BIBLIOGRAFICO DE ENFERMEDADES ENDEMICAS	BIBLIOTECA	PASEO COLON AV. 568		
INSTITUTO NACIONAL DE ALIMENTOS	ARCHIVO	ESTADOS UNIDOS 25		
"BIBLIOTECA LABORATORIOS ALCON ""CARLOS S. DAMEL"""	BIBLIOTECA	PERON, JUAN DOMINGO, TTE. GENERAL 1479		
CENTRO DE INFORMACION Y DOCUMENTACION EN ONCOLOGIA	ARCHIVO	TUCUMAN 731		
BIBLIOTECA ESCUELA SUPERIOR DE GUERRA AEREA	BIBLIOTECA	ZANNI PEDRO COMODORO 250		
BIBLIOTECA MARISEL MONTOTO RODRIGUEZ	BIBLIOTECA	DE MAYO AV. 866		
BIBLIOTECA DE LA UNION INDUSTRIAL ARGENTINA	ARCHIVO	DE MAYO AV. 1147		
UNIVERSIDAD DEL CEMA ADRIAN GUISARRI	BIBLIOTECA	CORDOBA AV. 400		
BIBLIOTECA DR. LAUREANO RIVAS MIGUEZ DEL HOSPITAL DE NIÑOS RICARDO GUTIERREZ	BIBLIOTECA	GALLO 1330		
SOCIEDAD ARGENTINA DE ORTODONCIA	BIBLIOTECA	MONTEVIDEO 971		
"FUNDACION ""DR. HECTOR BARCELO"""	BIBLIOTECA	LAS HERAS GENERAL AV. 2191		
BIBLIOTECA JOSE MURTHAG	BIBLIOTECA	DIAZ, CNEL. AV. 1971		
BIBLIOTECA DEL COLEGIO NACIONAL BUENOS AIRES	BIBLIOTECA	BOLIVAR 263		
INSTITUTO DE INVESTIGACIONES JURIDICAS Y SOCIALES AMBROSIO L. GIOJA	BIBLIOTECA	FIGUEROA ALCORTA, PRES. AV. 2263		
"BIBLIOTECA CENTRAL ""DR. LUIS F. LELOIR"""	BIBLIOTECA	GUIRALDES, INT. 2620		
BIBLIOTECA CENTRAL DE LA FACULTAD DE AGRONOMIA (UBA)	BIBLIOTECA	SAN MARTIN AV. 4453		
BIBLIOTECA CENTRAL DEL ESTADO MAYOR CONJUNTO DE LAS FUERZAS ARMADAS	BIBLIOTECA	PASEO COLON AV. 255		
BIBLIOTECA DEL INSTITUTO NACIONAL DE LA PROPIEDAD INDUSTRIAL (I.N.P.I.)	BIBLIOTECA	PASEO COLON AV. 717		
"CENTRO DE DOCUMENTACION E INFORMACION ""DR. JORGE EDUARDO COLL"""	BIBLIOTECA	PERON, JUAN DOMINGO, TTE. GENERAL 524		
PEÑA DE TANGO ALMA DE BOHEMIO DEL CLUB SOCIAL BOHEMIO	MILONGA Y/O TANGUERIA	NECOCHEA 948		
MILONGA NUEVO SALON ARGENTINA	MILONGA Y/O TANGUERIA	MITRE, BARTOLOME 1759		
MILONGA PARAKULTURAL	MILONGA Y/O TANGUERIA	SCALABRINI ORTIZ, RAUL AV. 1331		
CIRCULO TROVADOR	MILONGA Y/O TANGUERIA	DEL LIBERTADOR AV. 1031		
MILONGA GAY LA MARSHALL	MILONGA Y/O TANGUERIA	RIOBAMBA 416		
EL BESO	MILONGA Y/O TANGUERIA	RIOBAMBA 416		
BOEDO TANGO	MILONGA Y/O TANGUERIA	SAN JUAN AV. 3330		
CLUB PIAMONTES - SALON RODRIGUEZ	MILONGA Y/O TANGUERIA	RODRIGUEZ, MANUEL A., GENERAL 1191		
CLUB CRISOL UNIDOS - MILONGA SARAZA TANGO	MILONGA Y/O TANGUERIA	SARAZA 951		
SOCIEDAD DE FOMENTO MARIANO ACOSTA - MILONGA LA TIERRITA	MILONGA Y/O TANGUERIA	ACOSTA, MARIANO 1544		
CLUB SUNDERLAND - LA MILONGA DEL MUNDO	MILONGA Y/O TANGUERIA	LUGONES 3161		
ESQUINA CARLOS GARDEL	MILONGA Y/O TANGUERIA	GARDEL, CARLOS 3200		
EL VIEJO ALMACEN	MILONGA Y/O TANGUERIA	INDEPENDENCIA AV. 303		
MILONGA EL ARRANQUE	MILONGA Y/O TANGUERIA	MITRE, BARTOLOME 1759		
GRUPO DE TEATRO ALMA MATE DE FEORES	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	NAZCA AV. Y NEUQUEN		
CASAL DE CATALUNYA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CHACABUCO 863		
EL TEATRO DE FLORES	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	RIVERA INDARTE AV. 129		
CLUB DE AMIGOS DE LA VACA PROFANA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	LAVALLE 3683		
CLUB DE TRAPECISTAS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	FERRARI 252		
TEATRO DEL GLOBO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ALVEAR, MARCELO T. DE 1155		
YUPANQUI	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GUAMINI 4512		
SALA LA NAZCA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	NAZCA AV. 1000		
BARTOLOMEO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MITRE, BARTOLOME 1525		
FRAY MOCHO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PERON, JUAN DOMINGO, TTE. GENERAL 3644		
ESPACIO AGUIRRE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	AGUIRRE 1270		
ESPACIO CULTURAL URBANO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ACEVEDO 460		
VERA VERA TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	VERA 108		
ESPACIO INCAA KM2 LA MASCARA	CINE	PIEDRAS 736		
CINE LORCA	CINE	CORRIENTES AV. 1420		
ARTE CINEMA ESPACIO INCAA KM3	CINE	SALTA 1620		
CINEMA CITY GENERAL PAZ	CINE	CABILDO AV. 2702		
ESPACIO INCAA KM 0 - GAUMONT	CINE	RIVADAVIA AV. 1635		
"MUSEO DE LA HISTORIA DE LA MEDICINA ""VICENTE ANIBAL"""	MUSEO	URIBURU JOSE E., PRES. 949		
MAGUNCIA. MUSEO DEL PAPEL, GRABADO Y ESTAMPA.	MUSEO	DON PEDRO DE MENDOZA AV. 1855		
MUSEO HISTORICO Y DE LAS TRADICIONES POPULARES DE LA BOCA	MUSEO	DON PEDRO DE MENDOZA AV. 1727		
"MUSEO GEOGRAFICO Y MUSEO DE CIENCIAS NATURALES ""DR. JUAN B. TERAN Y ""DR. ANGEL GALLARDO"""	MUSEO	CATAMARCA 2099		
"MUSEO ""GENERAL BELGRANO"""	MUSEO	SARACHAGA 4906		
BAR, PELUQUERIA Y BARBERIA LA EPOCA	BAR CULTURAL	GUAYAQUIL 877		
BAR VIRASORO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GUATEMALA 4328		
BUKOWSKI BAR	BAR CULTURAL	MITRE, BARTOLOME 1525		
LIBRERIA CRACK UP	LIBRERIA	COSTA RICA 4767		
GALERIA ARROYO	GALERIA DE ARTE	ARROYO 830		
LA ESQUINA DE ANIBAL TROILO	BAR CULTURAL	PARAGUAY 1500		
BAR CAFE LA DAMA DE BOLLINI	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BOLLINI 2281		
LA VIRUTA TANGO	MILONGA Y/O TANGUERIA	ARMENIA 1366		
GALERIA PABELLON 4	GALERIA DE ARTE	URIARTE 1332		
CAFE LITERARIO OSVALDO BAYER	BAR CULTURAL	YRIGOYEN, HIPOLITO 1440		
CENTRO CULTURAL CASA CABRERA	CENTRO CULTURAL	CABRERA, JOSE A. 3653		
CENTRO CULTURAL BARRIAL GENESIS	CENTRO CULTURAL	IBERA 6085		
CENTRO CULTURAL BORGES	CENTRO CULTURAL	VIAMONTE 525		
CENTRO CULTURAL DE LA COOPERACION FLOREAL GORINI	CENTRO CULTURAL	CORRIENTES AV. 1543		
ESPACIO CULTURAL POMPAPETRIYAZOS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BRASIL 2800		
CASA DEL NIÑO Y EL ADOLESCENTE	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	JANER, ANA MARIA Y VEDIA, AGUSTIN DE		
BIBLIOTECA DE LA CAMARA ARGENTINA DE LA INDUSTRIA PLASTICA	BIBLIOTECA	SALGUERO, JERONIMO 1939		
PEÑA LOS CARDONES	PEÑA	BORGES, JORGE LUIS 2180		
PEÑA LA BAGUALA	PEÑA	BROWN, ALTE. AV. 736		
LA CUMPARCITA TANGO BAR	MILONGA Y/O TANGUERIA	CHILE AV. 302		
SEÑOR TANGO	MILONGA Y/O TANGUERIA	VIEYTES 1655		
PORTEÑO Y BAILARIN	MILONGA Y/O TANGUERIA	RIOBAMBA 345		
CLUB FULGOR DE VILLA CRESPO - PRAKTIKA8 - MILONGA10	MILONGA Y/O TANGUERIA	LOYOLA 828		
BIBLIOTECA DEL GOETHE INSTITUTO BUENOS AIRES	BIBLIOTECA	CORRIENTES AV. 343		
"BIBLIOTECA ""EMILIO FRES"" DE LA UNIVERSIDAD MUSEO SOCIAL ARGENTINO"	BIBLIOTECA	CORRIENTES AV. 1723		
CINE MONUMENTAL LAVALLE	CINE	LAVALLE 780		
ATLAS PATIO BULLRICH	CINE	DEL LIBERTADOR AV. 750		
CINEMA DEVOTO	CINE	VARELA, JOSE PEDRO 4866		
BAR KAFKA	BAR CULTURAL	PARAGUAY 1846		
CINE COSMOS (UBA)	CINE	CORRIENTES AV. 2046		
ASTROBAR	BAR CULTURAL	MEDRANO AV. 950		
ATLAS FLORES	CINE	RIVERA INDARTE AV. 44		
CENTRO CULTURAL E INFORMATIVO DE LA EMBAJADA DE JAPON	CENTRO CULTURAL	PARAGUAY 1127		
CENTRO CULTURAL DE ESPAÑA EN BUENOS AIRES	CENTRO CULTURAL	FLORIDA 493		
CIRCUITO CULTURAL BARRACAS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	IRIARTE, GRAL. AV. 2165		
ALIANZA FRANCESA DE BUENOS AIRES (SEDE CORDOBA)	CENTRO CULTURAL	CORDOBA AV. 936		
ASOCIACION DANTE ALIGHIERI DE BUENOS AIRES (SEDE TUCUMAN)	CENTRO CULTURAL	TUCUMAN 1646		
CENTRO CULTURAL ERNESTO SABATO	CENTRO CULTURAL	URIBURU JOSE E., PRES. 763		
BRITISH ART CENTRE	CENTRO CULTURAL	SUIPACHA 1333		
ESPACIO CULTURAL EMBAJADA DEL BRASIL	CENTRO CULTURAL	ARROYO 1142		
CENTRO CULTURAL AGRONOMIA	CENTRO CULTURAL	SAN MARTIN AV. 4453		
EL COLECTIVO ARTE EN MOVIMIENTO	CENTRO CULTURAL	IBERA 4836		
ALIANZA FRANCESA DE BUENOS AIRES (SEDE GRANADEROS)	CENTRO CULTURAL	GRANADEROS 61		
EL TUNEL CENTRO CULTURAL	CENTRO CULTURAL	BONPLAND 2050		
ALIANZA FRANCESA DE BUENOS AIRES (SEDE 11 DE SETIEMBRE)	CENTRO CULTURAL	11 DE SEPTIEMBRE DE 1888 950		
CENTRO CULTURAL DEL ESQUINAZO	CENTRO CULTURAL	PERON, JUAN DOMINGO, TTE. GENERAL 1785		
ASOCIACION DANTE ALIGHIERI DE BUENOS AIRES (SEDE CABILDO)	CENTRO CULTURAL	CABILDO AV. 2772		
CENTRO CULTURAL COREANO	CENTRO CULTURAL	DIAZ, CNEL. AV. 2884		
CASA NACIONAL DEL BICENTENARIO	CENTRO CULTURAL	RIOBAMBA 985		
CIUDAD CULTURAL KONEX	CENTRO CULTURAL	SARMIENTO 3131		
CENTRO CULTURAL ISLAMICO	CENTRO CULTURAL	BULLRICH, INT. AV. 55		
CENTRO CULTURAL ENRIQUE SANTOS DISCEPOLO	CENTRO CULTURAL	RIVAROLA, RODOLFO, DR. 154		
CENTRO CULTURAL JOSE INGENIEROS	CENTRO CULTURAL	PARAGUAY 2155		
ESPACIO SOCIAL Y CULTURAL COMUNARTE	CENTRO CULTURAL	CASTRO BARROS AV. 236		
CENTRO CULTURAL EL SURCO	CENTRO CULTURAL	BOEDO AV. 830		
ASOCIACION DANTE ALIGHIERI DE BUENOS AIRES (SEDE COMODORO MARTIN RIVADAVIA)	CENTRO CULTURAL	RIVADAVIA AV. 6460		
CENTRO CULTURAL MARTIN FIERRO	CENTRO CULTURAL	CHORROARIN AV. 280		
"CENTRO CULTURAL ""FRANCISCO PACO URONDO"""	CENTRO CULTURAL	25 DE MAYO 221		
CENTRO CULTURAL FACULTAD DE FILOSOFIA Y LETRAS DE LA PONTIFICIA UNIVERSIDAD CATOLICA	CENTRO CULTURAL	MOREAU DE JUSTO, ALICIA AV. 1500		
ASOCIACION DANTE ALIGHIERI DE BUENOS AIRES (SEDE MONTES DE OCA)	CENTRO CULTURAL	MONTES DE OCA, MANUEL 501		
CASA DE LA CULTURA LOS COMPADRES DEL HORIZONTE	CENTRO CULTURAL	COMBATE DE LOS POZOS 1936		
CENTRO CULTURAL EL QUIJOTERO	CENTRO CULTURAL	FIGUEROA, D. APOLINARIO, CORONEL 936		
CASA POPULAR VIENTOS DEL PUEBLO	CENTRO CULTURAL	IRIGOYEN 2587		
CENTRO CULTURAL EL QUIJOTE	CENTRO CULTURAL	ARAOZ 176		
CENTRO CULTURAL EL SURCO DE MATADEROS	CENTRO CULTURAL	OLIDEN 1440		
GRUPO DE TEATRO COMUNITARIO DE POMPEYA	CENTRO CULTURAL	TABARE 1299		
EL CORRALON DE FLORESTA	CENTRO CULTURAL	GAONA AV. 4660		
CENTRO CULTURAL ASOCIACION MUTUAL HOMERO MANZI	CENTRO CULTURAL	BELGRANO AV. 3540		
CENTRO CULTURAL RICARDO ROJAS	CENTRO CULTURAL	CORRIENTES AV. 2038		
CENTRO CULTURAL UNIVERSITARIO DE LA FACULTAD DE PSICOLOGIA UBA	CENTRO CULTURAL	INDEPENDENCIA AV. 3065		
EL TRAILER BAR TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SERRANO 1595		
"INSTITUTO BIBLIOGRAFICO ""ANTONIO ZINNY"""	BIBLIOTECA	TUCUMAN 1958		
"BIBLIOTECA DE MUSICA ARGENTINA ""BLAS PARERA"". SADAIC"	BIBLIOTECA	LAVALLE 1547		
INSTITUTO DE HISTORIA DEL ARTE ARGENTINO Y LATINOAMERICANO FACULTAD DE FILOSOFIA Y LETRAS UBA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	25 DE MAYO 217		
BIBLIOTECA DE LA UNIVERSIDAD ARGENTINA DE LA EMPRESA	BIBLIOTECA	LIMA 717		
BIBLIOTECA ESTEBAN ECHEVERRIA DE LA LEGISLATURA PORTEÑA	BIBLIOTECA	PERU 160		
ASAMBLEA PERMANENTE POR LOS DERECHOS HUMANOS	ARCHIVO	CALLAO AV. 569		
FUNDACION KONRAD ADENAUER	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SUIPACHA 1175		
"INSTITUTO DE TEORIA E HISTORIA DEL ARTE ""JULIO E. PAYRO"" - CENTRO DE INVESTIGACION"	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	25 DE MAYO 217		
BIBLIOTECA DEL CONGRESO DE LA NACION	BIBLIOTECA	ALSINA, ADOLFO 1835		
BIBLIOTECA DE LA UNIVERSIDAD ARGENTINA JOHN F. KENNEDY	BIBLIOTECA	RIOBAMBA 157		
INSTITUTO DE LINGUISTICA Y BIBLIOTECA DE LA FACULTAD DE FILOSOFIA Y LETRAS (UBA)	BIBLIOTECA	25 DE MAYO 217		
BIBLIOTECA DEL CENTRO DE ESTUDIOS DE ESTADO Y SOCIEDAD (CEDES)	BIBLIOTECA	SANCHEZ DE BUSTAMANTE 27		
BIBLIOTECA REVERENDO PADRE GUILLERMO FURLONG SJ. UNIVERSIDAD DEL SALVADOR	BIBLIOTECA	PERON, JUAN DOMINGO, TTE. GENERAL 1818		
BIBLIOTECA DE LA ESCUELA NORMAL SUPERIOR NRO 3 BERNARDINO RIVADAVIA	BIBLIOTECA	BOLIVAR 1235		
SERVICIO PAZ Y JUSTICIA - CENTRO DE DOCUMENTACION.	ARCHIVO	PIEDRAS 730		
BIBLIOTECA DE LA FUNDACION PODER CIUDADANO	BIBLIOTECA	PIEDRAS 574		
ARCHIVO NACIONAL DE LA MEMORIA	ARCHIVO	DEL LIBERTADOR AV. 8151		
BIBLIOTECA SAN BENITO ABAD DE LA UNIVERSIDAD CATOLICA ARGENTINA	BIBLIOTECA	MOREAU DE JUSTO, ALICIA AV. 1300		
"BIBLIOTECA ""ENRIQUE PRINS"" DEL INSTITUTO UNIVERSITARIO NACIONAL DEL ARTE"	BIBLIOTECA	ESPAÃ‘A AV. 1701		
BIBLIOTECA LEOPOLDO TETTAMANTI	BIBLIOTECA	ROCA, JULIO A., PRESIDENTE AV. 651		
BIBLIOTECA DE LA COMISION NACIONAL DE COMUNICACIONES	BIBLIOTECA	MEXICO 571		
BIBLIOTECA DEL INSTITUTO NACIONAL DE ESTADISTICA Y CENSOS (INDEC)	BIBLIOTECA	ROCA, JULIO A., PRESIDENTE AV. 609		
CENTRO DE DOCUMENTACION E INVESTIGACION ARQUITECTURA PUBLICA	ARCHIVO	PASEO COLON AV. 171		
BIBLIOTECA DEL CONSEJO NACIONAL DE LA MUJER	BIBLIOTECA	PASEO COLON AV. 275		
BIBLIOTECA DE LA UNIVERSIDAD TECNOLOGICA NACIONAL	BIBLIOTECA	MEDRANO AV. 951		
INSTITUTO UNIVERSITARIO ESCUELA SUPERIOR DE ECONOMIA Y ADMINISTRACION DE EMPRESAS	BIBLIOTECA	URIARTE 2472		
BIBLIOTECA DE LA DIRECCION NACIONAL DE VIALIDAD	BIBLIOTECA	ROCA, JULIO A., PRESIDENTE AV. 734		
UNIVERSIDAD DE FLORES, FACULTAD DE PLANEAMIENTO SOCIOAMBIENTAL Y FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	PEDERNERA 275		
UNIVERSIDAD DE LA MARINA MERCANTE, FACULTAD DE JURIDICAS, SOCIALES Y DE LA COMUNICACION.	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	RIVADAVIA AV. 2258		
"INSTITUTO SUPERIOR DE FORMACION ARTISTICA DE ARTES AUDIOVISUALES ""LOLA MORA"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SOLDADO DE LA FRONTERA AV. 5155		
UNIVERSIDAD DE BELGRANO, FACULTAD DE HUMANIDADES Y ARQUITECTURA Y URBANIMO	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	ZABALA 1837		
UNIVERSIDAD DEL MUSEO SOCIAL ARGENTINO, FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CORRIENTES AV. 1723		
UNIVERSIDAD DEL MUSEO SOCIAL ARGENTINO, FACULTAD DE ARTES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SARMIENTO 1565		
INSTITUTO SUPERIOR SANTA ANA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	DEL LIBERTADOR AV. 6155		
UNIVERSIDAD ABIERTA INTERAMERICANA, FACULTAD DE CIENCIAS DE LA COMUNICACION	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CHACABUCO 90		
UNIVERSIDAD ARGENTINA JOHN F. KENNEDY, ESCUELA DE DISEÑO GRAFICO	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	MITRE, BARTOLOME 1411		
ESCUELA SUPERIOR DE CREATIVOS PUBLICITARIOS	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CIUDAD DE LA PAZ 1937		
INSTITUTO GRAFOTECNICO	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	MAIPU 742		
FACULTAD DE ARQUITECTURA, DISEÑO Y URBANISMO	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	GUIRALDES, INT. 2620		
ESCUELA DE MUSICA DE BUENOS AIRES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CIUDAD DE LA PAZ 1831		
INSTITUTO CATOLICO DE ESTUDIOS SOCIALES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	JUNIN 1063		
ESCUELA NACIONAL DE EXPERIMENTACION Y REALIZACION CINEMATOGRAFICA (E.N.E.R.C.)	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	MORENO 1199		
CENTRO DE INVESTIGACION Y EXPERIMENTACION EN VIDEO Y CINE (CIEVYC)	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	COCHABAMBA 868		
CENTRO DE ESTUDIOS BUENOS AIRES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	BELGRANO AV. 3302		
ESCUELA DE PERIODISMO DEL CIRCULO DE PRENSA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	PERU 358		
FUNDACION DE ALTOS ESTUDIOS EN CIENCIAS COMERCIALES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	URUGUAY 57		
INSTITUTO SUPERIOR DE ENSEÑANZA RADIOFONICA (I.S.E.R.)	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	RAMOS MEJIA, JOSE MARIA, DR. AV. 1398		
